Device name,Latest risk score,Operating system,IP address,Last user,Highly-exploitable CVEs,Discovered by,First seen,Last detected
TPV-414-002,0,Windows 10 10.0 (Build 17763),10.2.114.6,,0,"Trend Vision One Endpoint Sensor, Apex One as a Service",2022-09-13 16:27:20,2023-08-16 07:38:18
10.1.21.4,0,,10.1.21.4,,0,Trend Vision One Endpoint Sensor,2023-07-17 21:19:07,2023-10-31 09:22:02
10.2.124.81,0,,10.2.124.81,,0,Trend Vision One Endpoint Sensor,2023-01-08 01:58:41,2023-10-31 16:25:09
TPV-515-001,0,Windows 10 10.0 (Build 17763),192.168.10.79,,0,Apex One as a Service,2023-10-19 13:31:49,2023-10-20 01:39:25
LAP-234-2,0,Windows 10 10.0 (Build 19045),10.1.234.4,,0,Apex One as a Service,2021-09-21 12:11:11,2023-08-16 15:17:19
TPV-215-001,0,Windows 10 10.0 (Build 17763),10.1.215.3,,0,"Trend Vision One Endpoint Sensor, Apex One as a Service",2022-03-25 18:31:51,2023-08-16 08:20:35
10.4.1.6,0,,10.4.1.6,,0,Endpoint & Workload Security,2023-09-15 05:41:02,2023-10-31 18:30:00
10.3.0.96,0,,10.3.0.96,,0,Endpoint & Workload Security,2023-09-15 05:41:00,2023-10-31 18:30:00
TPV-200-002,0,Windows 10 10.0 (Build 17763),10.1.200.6,,0,"Trend Vision One Endpoint Sensor, Apex One as a Service",2022-10-23 09:58:45,2023-08-16 14:53:57
TPV-327-001,0,Windows 10 10.0 (Build 17763),10.2.27.1,,0,Apex One as a Service,2022-11-18 04:36:49,2023-08-16 08:28:47
TPV-031-001,0,Windows 10 10.0 (Build 17763),10.1.31.3,,0,Apex One as a Service,2022-06-29 11:17:11,2023-08-16 15:50:26
TPV-018-001,0,Windows 10 10.0 (Build 17763),10.1.18.2,,0,"Trend Vision One Endpoint Sensor, Apex One as a Service",2022-07-20 08:36:13,2023-08-16 07:35:10
LP-196-4,0,Windows 10 10.0 (Build 19045),10.1.196.1,,0,Apex One as a Service,2021-09-27 22:15:09,2023-08-16 15:37:12
